,Tags,Time,Score
38,Clicking,110.975,"{'Speech': 0.987, 'Child speech, kid speaking': 0.0002, 'Conversation': 0.001, 'Narration, monologue': 0.0062, 'Speech synthesizer': 0.0005, 'Breathing': 0.0002, 'Snoring': 1e-04, 'Water': 1e-04, 'Writing': 0.0002, 'Tools': 0.0002, 'Liquid': 0.0002, 'Spray': 1e-04, 'Clicking': 0.0017, 'Silence': 0.0004, 'Inside, small room': 0.0166, 'Inside, large room or hall': 0.0007, 'Outside, urban or manmade': 1e-04, 'Outside, rural or natural': 0.0004, 'Radio': 0.0002}
"
39,Clicking,114.575,"{'Speech': 0.9965, 'Conversation': 1e-04, 'Narration, monologue': 0.0013, 'Clicking': 1e-04, 'Silence': 1e-04, 'Inside, small room': 0.0086, 'Inside, large room or hall': 0.0003, 'Outside, rural or natural': 1e-04}
"
40,Clicking,117.775,"{'Speech': 0.9991, 'Conversation': 0.0004, 'Narration, monologue': 0.0141, 'Speech synthesizer': 0.0012, 'Clicking': 1e-04, 'Inside, small room': 0.007, 'Inside, large room or hall': 0.0002}
"
41,Clicking,118.575,"{'Speech': 0.989, 'Conversation': 0.0014, 'Narration, monologue': 0.0061, 'Speech synthesizer': 0.0014, 'Music': 0.0003, 'Musical instrument': 0.0006, 'Plucked string instrument': 0.0004, 'Guitar': 0.0003, 'Electric guitar': 1e-04, 'Acoustic guitar': 1e-04, 'Strum': 1e-04, 'Keyboard (musical)': 1e-04, 'Synthesizer': 1e-04, 'Percussion': 0.0002, 'Drum kit': 1e-04, 'Clicking': 0.0023, 'Silence': 1e-04, 'Sound effect': 1e-04, 'Inside, small room': 0.0043, 'Inside, large room or hall': 0.0003, 'Radio': 1e-04}
"
42,Clicking,122.575,"{'Speech': 0.9987, 'Conversation': 0.0014, 'Narration, monologue': 0.003, 'Speech synthesizer': 0.0002, 'Typing': 1e-04, 'Writing': 0.0024, 'Tools': 1e-04, 'Spray': 1e-04, 'Clicking': 0.0002, 'Silence': 1e-04, 'Inside, small room': 0.0062, 'Inside, large room or hall': 0.0002}
"
43,Clicking,122.975,"{'Speech': 0.9746, 'Child speech, kid speaking': 0.0004, 'Conversation': 0.0013, 'Narration, monologue': 0.0037, 'Speech synthesizer': 0.0007, 'Animal': 0.0002, 'Livestock, farm animals, working animals': 0.0003, 'Bleat': 1e-04, 'Fowl': 1e-04, 'Chicken, rooster': 1e-04, 'Wild animals': 1e-04, 'Bird': 1e-04, 'Music': 0.0004, 'Musical instrument': 0.0004, 'Plucked string instrument': 0.0003, 'Guitar': 0.0002, 'Electric guitar': 1e-04, 'Strum': 1e-04, 'Keyboard (musical)': 1e-04, 'Synthesizer': 0.0002, 'Sampler': 1e-04, 'Percussion': 1e-04, 'Drum kit': 1e-04, 'Drum': 1e-04, 'Bowed string instrument': 0.0002, 'Violin, fiddle': 0.0002, 'Electronic music': 0.0002, 'Dubstep': 1e-04, 'Door': 1e-04, 'Tap': 1e-04, 'Tools': 1e-04, 'Clicking': 0.0002, 'Silence': 0.0003, 'Sound effect': 0.0002, 'Inside, small room': 0.0072, 'Inside, large room or hall': 0.0009, 'Outside, urban or manmade': 1e-04, 'Outside, rural or natural': 0.0004, 'Radio': 0.0003}
"
44,Clicking,125.775,"{'Speech': 0.9965, 'Conversation': 0.0006, 'Narration, monologue': 0.0044, 'Speech synthesizer': 0.0008, 'Typing': 1e-04, 'Clicking': 0.0028, 'Inside, small room': 0.0043, 'Inside, large room or hall': 0.0003, 'Radio': 1e-04}
"
45,Clicking,128.175,"{'Speech': 0.9686, 'Child speech, kid speaking': 1e-04, 'Conversation': 0.0006, 'Narration, monologue': 0.0017, 'Animal': 1e-04, 'Musical instrument': 1e-04, 'Plucked string instrument': 1e-04, 'Guitar': 1e-04, 'Writing': 0.0064, 'Tools': 0.0002, 'Clicking': 0.0002, 'Silence': 0.001, 'Inside, small room': 0.0223, 'Inside, large room or hall': 0.0007, 'Outside, rural or natural': 1e-04}
"
46,Clicking,128.575,"{'Speech': 0.9444, 'Child speech, kid speaking': 0.0026, 'Conversation': 0.0008, 'Narration, monologue': 0.0018, 'Speech synthesizer': 1e-04, 'Breathing': 0.0002, 'Animal': 0.0002, 'Domestic animals, pets': 1e-04, 'Dog': 1e-04, 'Livestock, farm animals, working animals': 1e-04, 'Wild animals': 1e-04, 'Music': 1e-04, 'Musical instrument': 1e-04, 'Plucked string instrument': 1e-04, 'Guitar': 1e-04, 'Bowed string instrument': 1e-04, 'Violin, fiddle': 1e-04, 'Tap': 1e-04, 'Writing': 0.0011, 'Tools': 0.0002, 'Clicking': 0.0005, 'Silence': 0.0073, 'Inside, small room': 0.0386, 'Inside, large room or hall': 0.0012, 'Outside, rural or natural': 1e-04, 'Television': 1e-04}
"
47,Clicking,128.975,"{'Speech': 0.9969, 'Child speech, kid speaking': 1e-04, 'Conversation': 0.0002, 'Narration, monologue': 0.0043, 'Speech synthesizer': 0.0002, 'Plucked string instrument': 1e-04, 'Clicking': 0.0005, 'Inside, small room': 0.0008, 'Inside, large room or hall': 0.0002, 'Outside, urban or manmade': 1e-04, 'Outside, rural or natural': 0.0004}
"
48,Clicking,131.375,"{'Speech': 0.9961, 'Conversation': 1e-04, 'Narration, monologue': 0.0047, 'Speech synthesizer': 0.0005, 'Musical instrument': 1e-04, 'Plucked string instrument': 1e-04, 'Guitar': 1e-04, 'Tools': 1e-04, 'Clicking': 0.0007, 'Inside, small room': 0.0059, 'Inside, large room or hall': 0.0007, 'Outside, rural or natural': 0.0002, 'Radio': 1e-04}
"
49,Clicking,135.775,"{'Speech': 0.9566, 'Child speech, kid speaking': 0.0006, 'Conversation': 0.0024, 'Narration, monologue': 0.0058, 'Speech synthesizer': 0.0009, 'Whispering': 0.0003, 'Breathing': 0.0003, 'Animal': 1e-04, 'Domestic animals, pets': 1e-04, 'Dog': 1e-04, 'Wild animals': 1e-04, 'Bird': 1e-04, 'Musical instrument': 1e-04, 'Synthesizer': 1e-04, 'Scratching (performance technique)': 1e-04, 'Beatboxing': 0.0003, 'Electronic music': 1e-04, 'Dubstep': 1e-04, 'Door': 1e-04, 'Tap': 1e-04, 'Typing': 0.0003, 'Computer keyboard': 0.0003, 'Writing': 0.0037, 'Mechanisms': 1e-04, 'Tools': 0.003, 'Wood': 0.0008, 'Liquid': 0.0002, 'Spray': 0.0002, 'Rub': 0.0002, 'Crumpling, crinkling': 1e-04, 'Tearing': 1e-04, 'Clicking': 0.002, 'Silence': 0.0023, 'Sound effect': 0.0003, 'Inside, small room': 0.0758, 'Inside, large room or hall': 0.0036, 'Outside, urban or manmade': 0.0002, 'Outside, rural or natural': 0.0003, 'Television': 1e-04, 'Radio': 0.0006}
"
50,Clicking,137.775,"{'Speech': 0.1425, 'Child speech, kid speaking': 0.0034, 'Conversation': 0.001, 'Narration, monologue': 0.0036, 'Speech synthesizer': 0.0007, 'Whispering': 0.0008, 'Singing': 0.0002, 'Child singing': 1e-04, 'Breathing': 0.0008, 'Snoring': 0.0003, 'Animal': 1e-04, 'Domestic animals, pets': 1e-04, 'Cat': 1e-04, 'Music': 1e-04, 'Musical instrument': 0.0005, 'Plucked string instrument': 0.0002, 'Guitar': 0.0002, 'Acoustic guitar': 1e-04, 'Strum': 1e-04, 'Ukulele': 1e-04, 'Percussion': 1e-04, 'Bowed string instrument': 0.0002, 'Violin, fiddle': 0.0004, 'Pizzicato': 1e-04, 'Lullaby': 1e-04, 'Door': 1e-04, 'Tap': 1e-04, 'Writing': 0.0019, 'Alarm': 1e-04, 'Telephone': 0.0002, 'Mechanisms': 0.0002, 'Clock': 0.0002, 'Tick': 0.0004, 'Tick-tock': 0.0002, 'Tools': 1e-04, 'Clicking': 0.0049, 'Silence': 0.3928, 'Sound effect': 0.0002, 'Inside, small room': 0.049, 'Inside, large room or hall': 0.0007, 'Outside, rural or natural': 1e-04, 'Television': 0.0009, 'Radio': 1e-04}
"
51,Clicking,138.175,"{'Speech': 0.9934, 'Child speech, kid speaking': 0.0005, 'Conversation': 0.0008, 'Narration, monologue': 0.0202, 'Speech synthesizer': 1e-04, 'Clicking': 1e-04, 'Inside, small room': 0.0119, 'Inside, large room or hall': 0.0003}
"
